,sales,date,region
787,1800.0,2018-03-06,west
812,1581.0,2018-03-07,north
813,1602.0,2018-03-07,south
814,1608.0,2018-03-07,east
815,1650.0,2018-03-07,west
840,1611.0,2018-03-08,north
841,1530.0,2018-03-08,south
842,1698.0,2018-03-08,east
843,1668.0,2018-03-08,west
868,1746.0,2018-03-09,north
869,1524.0,2018-03-09,south
870,1506.0,2018-03-09,east
871,1704.0,2018-03-09,west
896,1788.0,2018-03-10,north
897,1719.0,2018-03-10,south
898,1746.0,2018-03-10,east
899,1584.0,2018-03-10,west
924,1692.0,2018-03-11,north
925,1635.0,2018-03-11,south
926,1608.0,2018-03-11,east
927,1590.0,2018-03-11,west
952,1599.0,2018-03-12,north
953,1518.0,2018-03-12,south
954,1602.0,2018-03-12,east
955,1659.0,2018-03-12,west
980,1644.0,2018-03-13,north
981,1611.0,2018-03-13,south
982,1554.0,2018-03-13,east
983,1515.0,2018-03-13,west
1008,1515.0,2018-03-14,north
1009,1632.0,2018-03-14,south
1010,1512.0,2018-03-14,east
1011,1776.0,2018-03-14,west
1036,1677.0,2018-03-15,north
1037,1503.0,2018-03-15,south
1038,1605.0,2018-03-15,east
1039,1647.0,2018-03-15,west
1064,1506.0,2018-03-16,north
1065,1737.0,2018-03-16,south
1066,1590.0,2018-03-16,east
1067,1767.0,2018-03-16,west
1092,1593.0,2018-03-17,north
1093,1614.0,2018-03-17,south
1094,1710.0,2018-03-17,east
1095,1662.0,2018-03-17,west
1120,1650.0,2018-03-18,north
1121,1755.0,2018-03-18,south
1122,1698.0,2018-03-18,east
1123,1659.0,2018-03-18,west
1148,1683.0,2018-03-19,north
1149,1509.0,2018-03-19,south
1150,1500.0,2018-03-19,east
1151,1545.0,2018-03-19,west
1176,1647.0,2018-03-20,north
1177,1614.0,2018-03-20,south
1178,1629.0,2018-03-20,east
1179,1677.0,2018-03-20,west
1204,1743.0,2018-03-21,north
1205,1569.0,2018-03-21,south
1206,1593.0,2018-03-21,east
1207,1578.0,2018-03-21,west
1232,1578.0,2018-03-22,north
1233,1581.0,2018-03-22,south
1234,1653.0,2018-03-22,east
1235,1578.0,2018-03-22,west
1260,1761.0,2018-03-23,north
1261,1611.0,2018-03-23,south
1262,1749.0,2018-03-23,east
1263,1764.0,2018-03-23,west
1288,1716.0,2018-03-24,north
1289,1710.0,2018-03-24,south
1290,1800.0,2018-03-24,east
1291,1728.0,2018-03-24,west
1316,1743.0,2018-03-25,north
1317,1764.0,2018-03-25,south
1318,1740.0,2018-03-25,east
1319,1707.0,2018-03-25,west
1344,1509.0,2018-03-26,north
1345,1641.0,2018-03-26,south
1346,1533.0,2018-03-26,east
1347,1752.0,2018-03-26,west
1372,1767.0,2018-03-27,north
1373,1590.0,2018-03-27,south
1374,1533.0,2018-03-27,east
1375,1704.0,2018-03-27,west
1400,1671.0,2018-03-28,north
1401,1527.0,2018-03-28,south
1402,1524.0,2018-03-28,east
1403,1629.0,2018-03-28,west
1428,1722.0,2018-03-29,north
1429,1557.0,2018-03-29,south
1430,1686.0,2018-03-29,east
1431,1779.0,2018-03-29,west
1456,1734.0,2018-03-30,north
1457,1776.0,2018-03-30,south
1458,1554.0,2018-03-30,east
1459,1725.0,2018-03-30,west
1484,1617.0,2018-03-31,north
1485,1635.0,2018-03-31,south
1486,1605.0,2018-03-31,east
1487,1785.0,2018-03-31,west
1512,1761.0,2018-04-01,north
1513,1530.0,2018-04-01,south
1514,1710.0,2018-04-01,east
1515,1506.0,2018-04-01,west
1540,1509.0,2018-04-02,north
1541,1797.0,2018-04-02,south
1542,1662.0,2018-04-02,east
1543,1530.0,2018-04-02,west
1568,1767.0,2018-04-03,north
1569,1767.0,2018-04-03,south
1570,1614.0,2018-04-03,east
1571,1533.0,2018-04-03,west
1596,1767.0,2018-04-04,north
1597,1761.0,2018-04-04,south
1598,1566.0,2018-04-04,east
1599,1623.0,2018-04-04,west
1624,1506.0,2018-04-05,north
1625,1512.0,2018-04-05,south
1626,1692.0,2018-04-05,east
1627,1749.0,2018-04-05,west
1652,1701.0,2018-04-06,north
1653,1752.0,2018-04-06,south
1654,1632.0,2018-04-06,east
1655,1515.0,2018-04-06,west
1680,1725.0,2018-04-07,north
1681,1611.0,2018-04-07,south
1682,1788.0,2018-04-07,east
1683,1617.0,2018-04-07,west
1708,1656.0,2018-04-08,north
1709,1674.0,2018-04-08,south
1710,1557.0,2018-04-08,east
1711,1701.0,2018-04-08,west
1736,1686.0,2018-04-09,north
1737,1782.0,2018-04-09,south
1738,1641.0,2018-04-09,east
1739,1557.0,2018-04-09,west
1764,1686.0,2018-04-10,north
1765,1527.0,2018-04-10,south
1766,1698.0,2018-04-10,east
1767,1728.0,2018-04-10,west
1792,1671.0,2018-04-11,north
1793,1527.0,2018-04-11,south
1794,1581.0,2018-04-11,east
1795,1764.0,2018-04-11,west
1820,1653.0,2018-04-12,north
1821,1626.0,2018-04-12,south
1822,1782.0,2018-04-12,east
1823,1749.0,2018-04-12,west
1848,1539.0,2018-04-13,north
1849,1752.0,2018-04-13,south
1850,1674.0,2018-04-13,east
1851,1749.0,2018-04-13,west
1876,1569.0,2018-04-14,north
1877,1794.0,2018-04-14,south
1878,1674.0,2018-04-14,east
1879,1638.0,2018-04-14,west
1904,1515.0,2018-04-15,north
1905,1527.0,2018-04-15,south
1906,1602.0,2018-04-15,east
1907,1653.0,2018-04-15,west
1932,1602.0,2018-04-16,north
1933,1707.0,2018-04-16,south
1934,1548.0,2018-04-16,east
1935,1527.0,2018-04-16,west
1960,1599.0,2018-04-17,north
1961,1728.0,2018-04-17,south
1962,1704.0,2018-04-17,east
1963,1539.0,2018-04-17,west
1988,1545.0,2018-04-18,north
1989,1797.0,2018-04-18,south
1990,1515.0,2018-04-18,east
1991,1719.0,2018-04-18,west
2016,1713.0,2018-04-19,north
2017,1674.0,2018-04-19,south
2018,1767.0,2018-04-19,east
2019,1767.0,2018-04-19,west
2044,1668.0,2018-04-20,north
2045,1620.0,2018-04-20,south
2046,1677.0,2018-04-20,east
2047,1509.0,2018-04-20,west
2072,1683.0,2018-04-21,north
2073,1743.0,2018-04-21,south
2074,1644.0,2018-04-21,east
2075,1578.0,2018-04-21,west
2100,1572.0,2018-04-22,north
2101,1545.0,2018-04-22,south
2102,1557.0,2018-04-22,east
2103,1626.0,2018-04-22,west
2128,1710.0,2018-04-23,north
2129,1659.0,2018-04-23,south
2130,1665.0,2018-04-23,east
2131,1521.0,2018-04-23,west
2156,1503.0,2018-04-24,north
2157,1650.0,2018-04-24,south
2158,1689.0,2018-04-24,east
2159,1743.0,2018-04-24,west
2184,1623.0,2018-04-25,north
2185,1503.0,2018-04-25,south
2186,1758.0,2018-04-25,east
2187,1557.0,2018-04-25,west
2212,1713.0,2018-04-26,north
2213,1734.0,2018-04-26,south
2214,1740.0,2018-04-26,east
2215,1563.0,2018-04-26,west
2240,1716.0,2018-04-27,north
2241,1791.0,2018-04-27,south
2242,1674.0,2018-04-27,east
2243,1716.0,2018-04-27,west
2268,1632.0,2018-04-28,north
2269,1641.0,2018-04-28,south
2270,1584.0,2018-04-28,east
2271,1590.0,2018-04-28,west
2296,1713.0,2018-04-29,north
2297,1593.0,2018-04-29,south
2298,1740.0,2018-04-29,east
2299,1638.0,2018-04-29,west
2324,1653.0,2018-04-30,north
2325,1590.0,2018-04-30,south
2326,1593.0,2018-04-30,east
2327,1602.0,2018-04-30,west
2352,1785.0,2018-05-01,north
2353,1764.0,2018-05-01,south
2354,1506.0,2018-05-01,east
2355,1536.0,2018-05-01,west
2380,1623.0,2018-05-02,north
2381,1674.0,2018-05-02,south
2382,1791.0,2018-05-02,east
2383,1653.0,2018-05-02,west
2408,1785.0,2018-05-03,north
2409,1569.0,2018-05-03,south
2410,1500.0,2018-05-03,east
2411,1770.0,2018-05-03,west
2436,1653.0,2018-05-04,north
2437,1590.0,2018-05-04,south
2438,1671.0,2018-05-04,east
2439,1629.0,2018-05-04,west
2464,1578.0,2018-05-05,north
2465,1665.0,2018-05-05,south
2466,1575.0,2018-05-05,east
2467,1587.0,2018-05-05,west
2492,1674.0,2018-05-06,north
2493,1785.0,2018-05-06,south
2494,1719.0,2018-05-06,east
2495,1617.0,2018-05-06,west
2520,1794.0,2018-05-07,north
2521,1563.0,2018-05-07,south
2522,1728.0,2018-05-07,east
2523,1740.0,2018-05-07,west
2548,1617.0,2018-05-08,north
2549,1650.0,2018-05-08,south
2550,1728.0,2018-05-08,east
2551,1635.0,2018-05-08,west
2576,1584.0,2018-05-09,north
2577,1647.0,2018-05-09,south
2578,1551.0,2018-05-09,east
2579,1512.0,2018-05-09,west
2604,1737.0,2018-05-10,north
2605,1551.0,2018-05-10,south
2606,1515.0,2018-05-10,east
2607,1716.0,2018-05-10,west
2632,1746.0,2018-05-11,north
2633,1677.0,2018-05-11,south
2634,1584.0,2018-05-11,east
2635,1617.0,2018-05-11,west
2660,1743.0,2018-05-12,north
2661,1533.0,2018-05-12,south
2662,1521.0,2018-05-12,east
2663,1578.0,2018-05-12,west
2688,1545.0,2018-05-13,north
2689,1713.0,2018-05-13,south
2690,1665.0,2018-05-13,east
2691,1644.0,2018-05-13,west
2716,1776.0,2018-05-14,north
2717,1560.0,2018-05-14,south
2718,1644.0,2018-05-14,east
2719,1503.0,2018-05-14,west
2744,1800.0,2018-05-15,north
2745,1758.0,2018-05-15,south
2746,1701.0,2018-05-15,east
2747,1671.0,2018-05-15,west
2772,1593.0,2018-05-16,north
2773,1617.0,2018-05-16,south
2774,1626.0,2018-05-16,east
2775,1629.0,2018-05-16,west
2800,1728.0,2018-05-17,north
2801,1506.0,2018-05-17,south
2802,1590.0,2018-05-17,east
2803,1626.0,2018-05-17,west
2828,1782.0,2018-05-18,north
2829,1572.0,2018-05-18,south
2830,1539.0,2018-05-18,east
2831,1509.0,2018-05-18,west
2856,1788.0,2018-05-19,north
2857,1713.0,2018-05-19,south
2858,1626.0,2018-05-19,east
2859,1629.0,2018-05-19,west
2884,1548.0,2018-05-20,north
2885,1716.0,2018-05-20,south
2886,1752.0,2018-05-20,east
2887,1638.0,2018-05-20,west
2912,1575.0,2018-05-21,north
2913,1671.0,2018-05-21,south
2914,1626.0,2018-05-21,east
2915,1572.0,2018-05-21,west
2940,1572.0,2018-05-22,north
2941,1569.0,2018-05-22,south
2942,1581.0,2018-05-22,east
2943,1521.0,2018-05-22,west
2968,1641.0,2018-05-23,north
2969,1692.0,2018-05-23,south
2970,1713.0,2018-05-23,east
2971,1563.0,2018-05-23,west
2996,1524.0,2018-05-24,north
2997,1533.0,2018-05-24,south
2998,1695.0,2018-05-24,east
2999,1533.0,2018-05-24,west
3024,1599.0,2018-05-25,north
3025,1665.0,2018-05-25,south
3026,1713.0,2018-05-25,east
3027,1644.0,2018-05-25,west
3052,1776.0,2018-05-26,north
3053,1530.0,2018-05-26,south
3054,1650.0,2018-05-26,east
3055,1512.0,2018-05-26,west
3080,1629.0,2018-05-27,north
3081,1707.0,2018-05-27,south
3082,1521.0,2018-05-27,east
3083,1761.0,2018-05-27,west
3108,1755.0,2018-05-28,north
3109,1659.0,2018-05-28,south
3110,1800.0,2018-05-28,east
3111,1539.0,2018-05-28,west
3136,1713.0,2018-05-29,north
3137,1752.0,2018-05-29,south
3138,1629.0,2018-05-29,east
3139,1635.0,2018-05-29,west
3164,1674.0,2018-05-30,north
3165,1701.0,2018-05-30,south
3166,1614.0,2018-05-30,east
3167,1794.0,2018-05-30,west
3192,1725.0,2018-05-31,north
3193,1659.0,2018-05-31,south
3194,1536.0,2018-05-31,east
3195,1620.0,2018-05-31,west
3220,1794.0,2018-06-01,north
3221,1623.0,2018-06-01,south
3222,1665.0,2018-06-01,east
3223,1671.0,2018-06-01,west
3248,1752.0,2018-06-02,north
3249,1707.0,2018-06-02,south
3250,1797.0,2018-06-02,east
3251,1668.0,2018-06-02,west
3276,1596.0,2018-06-03,north
3277,1503.0,2018-06-03,south
3278,1578.0,2018-06-03,east
3279,1680.0,2018-06-03,west
3304,1608.0,2018-06-04,north
3305,1683.0,2018-06-04,south
3306,1572.0,2018-06-04,east
3307,1656.0,2018-06-04,west
3332,1713.0,2018-06-05,north
3333,1698.0,2018-06-05,south
3334,1557.0,2018-06-05,east
3335,1782.0,2018-06-05,west
3360,1695.0,2018-06-06,north
3361,1680.0,2018-06-06,south
3362,1761.0,2018-06-06,east
3363,1659.0,2018-06-06,west
3388,1518.0,2018-06-07,north
3389,1572.0,2018-06-07,south
3390,1785.0,2018-06-07,east
3391,1557.0,2018-06-07,west
3416,1719.0,2018-06-08,north
3417,1677.0,2018-06-08,south
3418,1695.0,2018-06-08,east
3419,1602.0,2018-06-08,west
3444,1782.0,2018-06-09,north
3445,1773.0,2018-06-09,south
3446,1656.0,2018-06-09,east
3447,1665.0,2018-06-09,west
3472,1578.0,2018-06-10,north
3473,1641.0,2018-06-10,south
3474,1737.0,2018-06-10,east
3475,1557.0,2018-06-10,west
3500,1788.0,2018-06-11,north
3501,1677.0,2018-06-11,south
3502,1698.0,2018-06-11,east
3503,1728.0,2018-06-11,west
3528,1776.0,2018-06-12,north
3529,1551.0,2018-06-12,south
3530,1548.0,2018-06-12,east
3531,1542.0,2018-06-12,west
3556,1683.0,2018-06-13,north
3557,1683.0,2018-06-13,south
3558,1572.0,2018-06-13,east
3559,1683.0,2018-06-13,west
3584,1761.0,2018-06-14,north
3585,1668.0,2018-06-14,south
3586,1599.0,2018-06-14,east
3587,1593.0,2018-06-14,west
3612,1623.0,2018-06-15,north
3613,1737.0,2018-06-15,south
3614,1593.0,2018-06-15,east
3615,1788.0,2018-06-15,west
3640,1659.0,2018-06-16,north
3641,1641.0,2018-06-16,south
3642,1575.0,2018-06-16,east
3643,1611.0,2018-06-16,west
3668,1599.0,2018-06-17,north
3669,1530.0,2018-06-17,south
3670,1608.0,2018-06-17,east
3671,1626.0,2018-06-17,west
3696,1530.0,2018-06-18,north
3697,1707.0,2018-06-18,south
3698,1611.0,2018-06-18,east
3699,1635.0,2018-06-18,west
3724,1593.0,2018-06-19,north
3725,1749.0,2018-06-19,south
3726,1623.0,2018-06-19,east
3727,1608.0,2018-06-19,west
3752,1665.0,2018-06-20,north
3753,1659.0,2018-06-20,south
3754,1734.0,2018-06-20,east
3755,1557.0,2018-06-20,west
3780,1797.0,2018-06-21,north
3781,1587.0,2018-06-21,south
3782,1557.0,2018-06-21,east
3783,1542.0,2018-06-21,west
3808,1743.0,2018-06-22,north
3809,1797.0,2018-06-22,south
3810,1686.0,2018-06-22,east
3811,1683.0,2018-06-22,west
3836,1791.0,2018-06-23,north
3837,1554.0,2018-06-23,south
3838,1695.0,2018-06-23,east
3839,1566.0,2018-06-23,west
3864,1563.0,2018-06-24,north
3865,1623.0,2018-06-24,south
3866,1530.0,2018-06-24,east
3867,1662.0,2018-06-24,west
3892,1650.0,2018-06-25,north
3893,1602.0,2018-06-25,south
3894,1548.0,2018-06-25,east
3895,1623.0,2018-06-25,west
3920,1728.0,2018-06-26,north
3921,1533.0,2018-06-26,south
3922,1503.0,2018-06-26,east
3923,1629.0,2018-06-26,west
3948,1581.0,2018-06-27,north
3949,1659.0,2018-06-27,south
3950,1707.0,2018-06-27,east
3951,1665.0,2018-06-27,west
3976,1563.0,2018-06-28,north
3977,1638.0,2018-06-28,south
3978,1692.0,2018-06-28,east
3979,1503.0,2018-06-28,west
4004,1686.0,2018-06-29,north
4005,1764.0,2018-06-29,south
4006,1629.0,2018-06-29,east
4007,1779.0,2018-06-29,west
4032,1554.0,2018-06-30,north
4033,1653.0,2018-06-30,south
4034,1515.0,2018-06-30,east
4035,1557.0,2018-06-30,west
4060,1746.0,2018-07-01,north
4061,1671.0,2018-07-01,south
4062,1716.0,2018-07-01,east
4063,1554.0,2018-07-01,west
4088,1695.0,2018-07-02,north
4089,1611.0,2018-07-02,south
4090,1680.0,2018-07-02,east
4091,1671.0,2018-07-02,west
4116,1644.0,2018-07-03,north
4117,1638.0,2018-07-03,south
4118,1623.0,2018-07-03,east
4119,1515.0,2018-07-03,west
4144,1743.0,2018-07-04,north
4145,1587.0,2018-07-04,south
4146,1764.0,2018-07-04,east
4147,1572.0,2018-07-04,west
4172,1752.0,2018-07-05,north
4173,1647.0,2018-07-05,south
4174,1575.0,2018-07-05,east
4175,1500.0,2018-07-05,west
4200,1743.0,2018-07-06,north
4201,1566.0,2018-07-06,south
4202,1758.0,2018-07-06,east
4203,1689.0,2018-07-06,west
4228,1776.0,2018-07-07,north
4229,1770.0,2018-07-07,south
4230,1695.0,2018-07-07,east
4231,1566.0,2018-07-07,west
4256,1623.0,2018-07-08,north
4257,1776.0,2018-07-08,south
4258,1515.0,2018-07-08,east
4259,1761.0,2018-07-08,west
4284,1623.0,2018-07-09,north
4285,1788.0,2018-07-09,south
4286,1542.0,2018-07-09,east
4287,1515.0,2018-07-09,west
4312,1794.0,2018-07-10,north
4313,1794.0,2018-07-10,south
4314,1755.0,2018-07-10,east
4315,1761.0,2018-07-10,west
4340,1605.0,2018-07-11,north
4341,1569.0,2018-07-11,south
4342,1638.0,2018-07-11,east
4343,1677.0,2018-07-11,west
4368,1593.0,2018-07-12,north
4369,1500.0,2018-07-12,south
4370,1539.0,2018-07-12,east
4371,1719.0,2018-07-12,west
4396,1749.0,2018-07-13,north
4397,1596.0,2018-07-13,south
4398,1680.0,2018-07-13,east
4399,1509.0,2018-07-13,west
4424,1500.0,2018-07-14,north
4425,1653.0,2018-07-14,south
4426,1620.0,2018-07-14,east
4427,1575.0,2018-07-14,west
4452,1737.0,2018-07-15,north
4453,1713.0,2018-07-15,south
4454,1698.0,2018-07-15,east
4455,1539.0,2018-07-15,west
4480,1773.0,2018-07-16,north
4481,1707.0,2018-07-16,south
4482,1554.0,2018-07-16,east
4483,1515.0,2018-07-16,west
4508,1551.0,2018-07-17,north
4509,1566.0,2018-07-17,south
4510,1788.0,2018-07-17,east
4511,1614.0,2018-07-17,west
4536,1704.0,2018-07-18,north
4537,1656.0,2018-07-18,south
4538,1530.0,2018-07-18,east
4539,1659.0,2018-07-18,west
4564,1620.0,2018-07-19,north
4565,1725.0,2018-07-19,south
4566,1704.0,2018-07-19,east
4567,1527.0,2018-07-19,west
4592,1731.0,2018-07-20,north
4593,1761.0,2018-07-20,south
4594,1644.0,2018-07-20,east
4595,1653.0,2018-07-20,west
4620,1725.0,2018-07-21,north
4621,1698.0,2018-07-21,south
4622,1662.0,2018-07-21,east
4623,1656.0,2018-07-21,west
4648,1608.0,2018-07-22,north
4649,1773.0,2018-07-22,south
4650,1659.0,2018-07-22,east
4651,1647.0,2018-07-22,west
4676,1638.0,2018-07-23,north
4677,1623.0,2018-07-23,south
4678,1719.0,2018-07-23,east
4679,1629.0,2018-07-23,west
4704,1701.0,2018-07-24,north
4705,1725.0,2018-07-24,south
4706,1752.0,2018-07-24,east
4707,1557.0,2018-07-24,west
4732,1500.0,2018-07-25,north
4733,1707.0,2018-07-25,south
4734,1533.0,2018-07-25,east
4735,1737.0,2018-07-25,west
4760,1605.0,2018-07-26,north
4761,1767.0,2018-07-26,south
4762,1551.0,2018-07-26,east
4763,1521.0,2018-07-26,west
4788,1659.0,2018-07-27,north
4789,1611.0,2018-07-27,south
4790,1695.0,2018-07-27,east
4791,1632.0,2018-07-27,west
4816,1515.0,2018-07-28,north
4817,1584.0,2018-07-28,south
4818,1596.0,2018-07-28,east
4819,1743.0,2018-07-28,west
4844,1791.0,2018-07-29,north
4845,1599.0,2018-07-29,south
4846,1749.0,2018-07-29,east
4847,1755.0,2018-07-29,west
4872,1755.0,2018-07-30,north
4873,1662.0,2018-07-30,south
4874,1509.0,2018-07-30,east
4875,1776.0,2018-07-30,west
4900,1695.0,2018-07-31,north
4901,1707.0,2018-07-31,south
4902,1548.0,2018-07-31,east
4903,1578.0,2018-07-31,west
4928,1563.0,2018-08-01,north
4929,1674.0,2018-08-01,south
4930,1554.0,2018-08-01,east
4931,1665.0,2018-08-01,west
4956,1527.0,2018-08-02,north
4957,1617.0,2018-08-02,south
4958,1548.0,2018-08-02,east
4959,1671.0,2018-08-02,west
4984,1668.0,2018-08-03,north
4985,1671.0,2018-08-03,south
4986,1719.0,2018-08-03,east
4987,1668.0,2018-08-03,west
5012,1536.0,2018-08-04,north
5013,1734.0,2018-08-04,south
5014,1743.0,2018-08-04,east
5015,1776.0,2018-08-04,west
5040,1650.0,2018-08-05,north
5041,1599.0,2018-08-05,south
5042,1614.0,2018-08-05,east
5043,1773.0,2018-08-05,west
5068,1611.0,2018-08-06,north
5069,1605.0,2018-08-06,south
5070,1554.0,2018-08-06,east
5071,1788.0,2018-08-06,west
5096,1566.0,2018-08-07,north
5097,1560.0,2018-08-07,south
5098,1551.0,2018-08-07,east
5099,1626.0,2018-08-07,west
5124,1665.0,2018-08-08,north
5125,1539.0,2018-08-08,south
5126,1506.0,2018-08-08,east
5127,1617.0,2018-08-08,west
5152,1797.0,2018-08-09,north
5153,1794.0,2018-08-09,south
5154,1620.0,2018-08-09,east
5155,1683.0,2018-08-09,west
5180,1620.0,2018-08-10,north
5181,1554.0,2018-08-10,south
5182,1701.0,2018-08-10,east
5183,1785.0,2018-08-10,west
5208,1689.0,2018-08-11,north
5209,1650.0,2018-08-11,south
5210,1533.0,2018-08-11,east
5211,1587.0,2018-08-11,west
5236,1509.0,2018-08-12,north
5237,1743.0,2018-08-12,south
5238,1719.0,2018-08-12,east
5239,1743.0,2018-08-12,west
5264,1701.0,2018-08-13,north
5265,1629.0,2018-08-13,south
5266,1638.0,2018-08-13,east
5267,1611.0,2018-08-13,west
5292,1623.0,2018-08-14,north
5293,1635.0,2018-08-14,south
5294,1716.0,2018-08-14,east
5295,1707.0,2018-08-14,west
5320,1602.0,2018-08-15,north
5321,1542.0,2018-08-15,south
5322,1800.0,2018-08-15,east
5323,1734.0,2018-08-15,west
5348,1788.0,2018-08-16,north
5349,1614.0,2018-08-16,south
5350,1743.0,2018-08-16,east
5351,1770.0,2018-08-16,west
5376,1776.0,2018-08-17,north
5377,1713.0,2018-08-17,south
5378,1623.0,2018-08-17,east
5379,1752.0,2018-08-17,west
5404,1527.0,2018-08-18,north
5405,1776.0,2018-08-18,south
5406,1689.0,2018-08-18,east
5407,1713.0,2018-08-18,west
5432,1509.0,2018-08-19,north
5433,1575.0,2018-08-19,south
5434,1701.0,2018-08-19,east
5435,1575.0,2018-08-19,west
5460,1581.0,2018-08-20,north
5461,1779.0,2018-08-20,south
5462,1662.0,2018-08-20,east
5463,1506.0,2018-08-20,west
5488,1794.0,2018-08-21,north
5489,1659.0,2018-08-21,south
5490,1644.0,2018-08-21,east
5491,1707.0,2018-08-21,west
5516,1704.0,2018-08-22,north
5517,1500.0,2018-08-22,south
5518,1539.0,2018-08-22,east
5519,1800.0,2018-08-22,west
5544,1557.0,2018-08-23,north
5545,1554.0,2018-08-23,south
5546,1788.0,2018-08-23,east
5547,1563.0,2018-08-23,west
5572,1548.0,2018-08-24,north
5573,1560.0,2018-08-24,south
5574,1734.0,2018-08-24,east
5575,1644.0,2018-08-24,west
5600,1629.0,2018-08-25,north
5601,1677.0,2018-08-25,south
5602,1764.0,2018-08-25,east
5603,1515.0,2018-08-25,west
5628,1542.0,2018-08-26,north
5629,1545.0,2018-08-26,south
5630,1668.0,2018-08-26,east
5631,1584.0,2018-08-26,west
5656,1605.0,2018-08-27,north
5657,1740.0,2018-08-27,south
5658,1602.0,2018-08-27,east
5659,1509.0,2018-08-27,west
5684,1566.0,2018-08-28,north
5685,1680.0,2018-08-28,south
5686,1656.0,2018-08-28,east
5687,1722.0,2018-08-28,west
5712,1662.0,2018-08-29,north
5713,1794.0,2018-08-29,south
5714,1734.0,2018-08-29,east
5715,1647.0,2018-08-29,west
5740,1635.0,2018-08-30,north
5741,1743.0,2018-08-30,south
5742,1665.0,2018-08-30,east
5743,1770.0,2018-08-30,west
5768,1749.0,2018-08-31,north
5769,1695.0,2018-08-31,south
5770,1644.0,2018-08-31,east
5771,1602.0,2018-08-31,west
5796,1560.0,2018-09-01,north
5797,1500.0,2018-09-01,south
5798,1719.0,2018-09-01,east
